artist,genre,festivals
FTampa,EDM,[u'Rock in Rio USA - Rock Weekend']
Fall Out Boy,Rock,[u'SunFest']
Falling in Reverse,Rock,[u'Rock on the Range']
Falls,Rock,[u'Firefly']
Fantastic Negrito,R&B,[u'Outside Lands']
Father John Misty,Indie,"[u'Coachella', u'Hangout', u'Sasquatch!', u'Bunbury', u'Lollapalooza']"
Felguk,EDM,[u'Rock in Rio USA - Rock Weekend']
Fences,Indie,"[u'Sasquatch!', u'Firefly']"
Fiance,Indie,[u'Firefly']
Field Report,Americana,"[u'Summerfest', u'Forecastle', u'Newport Folk']"
Figure,EDM,[u'Spring Awakening']
Filibusta,EDM,[u'Firefly']
Firekid,Rock,[u'Hangout']
First Aid Kit,Indie,"[u'Forecastle', u'Newport Folk', u'Lollapalooza', u'Outside Lands']"
Firstryke,Metal,[u'Rocklahoma']
Fitz & The Tantrums,Indie,[u'Coachella']
Five Knives,Rock,[u'Hangout']
Floating Action,Indie,[u'Hangout']
Flogging Molly,Rock,"[u'Free Press Summer Festival', u'Summerfest']"
Florence + The Machine,Indie,"[u'Coachella', u'Governors Ball', u'Bonnaroo', u'Lollapalooza']"
Florida Georgia Line,Country,"[u'CMA Fest', u'Summerfest', u'Kicker Country Stampede']"
Flosstradamus,EDM,"[u'Coachella', u'Spring Awakening']"
Flume,EDM,"[u'Lightning in a Bottle', u'Sasquatch!', u'Governors Ball', u'Free Press Summer Festival', u'Bonnaroo', u'Electric Forest']"
Flux Pavillion,EDM,[u'Electric Forest']
Fly Golden Eagle,Rock,[u'Forecastle']
Flying Lotus,EDM,"[u'Coachella', u'Governors Ball', u'Bonnaroo', u'Lollapalooza']"
Foghat,Rock,[u'Summerfest']
Foo Fighters,Rock,[u'Hangout']
Foster The People,Indie,"[u'Rock in Rio USA - Rock Weekend', u'Hangout', u'Firefly']"
Four Fists,Hip-hop,[u'Middle of the Map']
Fozzy,Metal,[u'Welcome to Rockville']
Frank Turner & the Sleeping Souls,Indie,[u'Hangout']
Frankie Ballard,Country,"[u'Tortuga', u'Stagecoach', u'Summerfest']"
Fred Hersch,Jazz,[u'Newport Jazz']
Freddie Gibbs & Madlib,Hip-hop,[u'Bonnaroo']
Freddy Todd,EDM,[u'Electric Forest']
Freeman,Rock,[u'Free Press Summer Festival']
From Ashes to New,Metal,"[u'Welcome to Rockville', u'Rock on the Range']"
Fruition,Americana,[u'Wakarusa']
"Funk Hunters, featuring Chali 2na",EDM,[u'Electric Forest']
Fur Coat,EDM,[u'Lightning in a Bottle']
Future Brown,EDM,[u'Pitchfork']
Future Islands,Indie,"[u'Hangout', u'Sasquatch!', u'Governors Ball', u'Free Press Summer Festival', u'Pitchfork']"
